,Title,Location,Company,Salary
1328,Data Scientist,"Corning, NY 14831",Corning,
1329,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1330,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1331,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1332,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1333,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1334,newESG Data Scientist,"New York, NY",MSCI Inc,
1335,Data Scientist,"Nanuet, NY+1 location",Alldus,
1336,Data Scientist,"New York, NY 10036",Pluto TV,
1337,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1338,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1339,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1340,Analyst-Data Science,"New York, NY",Amex,
1341,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1342,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1343,Data Scientist,"Corning, NY 14831",Corning,
1344,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1345,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1346,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1347,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1348,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1349,newESG Data Scientist,"New York, NY",MSCI Inc,
1350,Data Scientist,"Nanuet, NY+1 location",Alldus,
1351,Data Scientist,"New York, NY 10036",Pluto TV,
1352,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1353,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1354,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1355,Analyst-Data Science,"New York, NY",Amex,
1356,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1357,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1358,Data Scientist,"Corning, NY 14831",Corning,
1359,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1360,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1361,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1362,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1363,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1364,newESG Data Scientist,"New York, NY",MSCI Inc,
1365,Data Scientist,"Nanuet, NY+1 location",Alldus,
1366,Data Scientist,"New York, NY 10036",Pluto TV,
1367,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1368,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1369,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1370,Analyst-Data Science,"New York, NY",Amex,
1371,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1372,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1373,Data Scientist,"Corning, NY 14831",Corning,
1374,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1375,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1376,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1377,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1378,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1379,newESG Data Scientist,"New York, NY",MSCI Inc,
1380,Data Scientist,"Nanuet, NY+1 location",Alldus,
1381,Data Scientist,"New York, NY 10036",Pluto TV,
1382,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1383,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1384,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1385,Analyst-Data Science,"New York, NY",Amex,
1386,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1387,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1388,Data Scientist,"Corning, NY 14831",Corning,
1389,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1390,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1391,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1392,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1393,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1394,newESG Data Scientist,"New York, NY",MSCI Inc,
1395,Data Scientist,"Nanuet, NY+1 location",Alldus,
1396,Data Scientist,"New York, NY 10036",Pluto TV,
1397,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1398,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1399,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1400,Analyst-Data Science,"New York, NY",Amex,
1401,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1402,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1403,Data Scientist,"Corning, NY 14831",Corning,
1404,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1405,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1406,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1407,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1408,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1409,newESG Data Scientist,"New York, NY",MSCI Inc,
1410,Data Scientist,"Nanuet, NY+1 location",Alldus,
1411,Data Scientist,"New York, NY 10036",Pluto TV,
1412,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1413,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1414,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1415,Analyst-Data Science,"New York, NY",Amex,
1416,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1417,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1418,Data Scientist,"Corning, NY 14831",Corning,
1419,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1420,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1421,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1422,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1423,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1424,newESG Data Scientist,"New York, NY",MSCI Inc,
1425,Data Scientist,"Nanuet, NY+1 location",Alldus,
1426,Data Scientist,"New York, NY 10036",Pluto TV,
1427,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1428,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1429,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1430,Analyst-Data Science,"New York, NY",Amex,
1431,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1432,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1433,Data Scientist,"Corning, NY 14831",Corning,
1434,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1435,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1436,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1437,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1438,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1439,newESG Data Scientist,"New York, NY",MSCI Inc,
1440,Data Scientist,"Nanuet, NY+1 location",Alldus,
1441,Data Scientist,"New York, NY 10036",Pluto TV,
1442,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1443,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1444,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1445,Analyst-Data Science,"New York, NY",Amex,
1446,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1447,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1448,Data Scientist,"Corning, NY 14831",Corning,
1449,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1450,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1451,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1452,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1453,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1454,newESG Data Scientist,"New York, NY",MSCI Inc,
1455,Data Scientist,"Nanuet, NY+1 location",Alldus,
1456,Data Scientist,"New York, NY 10036",Pluto TV,
1457,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1458,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1459,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1460,Analyst-Data Science,"New York, NY",Amex,
1461,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1462,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1463,Data Scientist,"Corning, NY 14831",Corning,
1464,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1465,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1466,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1467,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1468,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1469,newESG Data Scientist,"New York, NY",MSCI Inc,
1470,Data Scientist,"Nanuet, NY+1 location",Alldus,
1471,Data Scientist,"New York, NY 10036",Pluto TV,
1472,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1473,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1474,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1475,Analyst-Data Science,"New York, NY",Amex,
1476,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1477,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1478,Data Scientist,"Corning, NY 14831",Corning,
1479,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1480,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1481,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1482,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1483,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1484,newESG Data Scientist,"New York, NY",MSCI Inc,
1485,Data Scientist,"Nanuet, NY+1 location",Alldus,
1486,Data Scientist,"New York, NY 10036",Pluto TV,
1487,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1488,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1489,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1490,Analyst-Data Science,"New York, NY",Amex,
1491,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1492,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1493,Data Scientist,"Corning, NY 14831",Corning,
1494,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1495,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1496,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1497,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1498,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1499,newESG Data Scientist,"New York, NY",MSCI Inc,
1500,Data Scientist,"Nanuet, NY+1 location",Alldus,
1501,Data Scientist,"New York, NY 10036",Pluto TV,
1502,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1503,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1504,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1505,Analyst-Data Science,"New York, NY",Amex,
1506,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1507,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1508,Data Scientist,"Corning, NY 14831",Corning,
1509,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1510,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1511,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1512,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1513,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1514,newESG Data Scientist,"New York, NY",MSCI Inc,
1515,Data Scientist,"Nanuet, NY+1 location",Alldus,
1516,Data Scientist,"New York, NY 10036",Pluto TV,
1517,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1518,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1519,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1520,Analyst-Data Science,"New York, NY",Amex,
1521,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1522,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1523,Data Scientist,"Corning, NY 14831",Corning,
1524,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1525,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1526,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1527,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1528,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1529,newESG Data Scientist,"New York, NY",MSCI Inc,
1530,Data Scientist,"Nanuet, NY+1 location",Alldus,
1531,Data Scientist,"New York, NY 10036",Pluto TV,
1532,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1533,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1534,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1535,Analyst-Data Science,"New York, NY",Amex,
1536,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1537,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1538,Data Scientist,"Corning, NY 14831",Corning,
1539,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1540,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1541,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1542,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1543,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1544,newESG Data Scientist,"New York, NY",MSCI Inc,
1545,Data Scientist,"Nanuet, NY+1 location",Alldus,
1546,Data Scientist,"New York, NY 10036",Pluto TV,
1547,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1548,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1549,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1550,Analyst-Data Science,"New York, NY",Amex,
1551,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1552,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1553,Data Scientist,"Corning, NY 14831",Corning,
1554,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1555,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1556,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1557,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1558,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1559,newESG Data Scientist,"New York, NY",MSCI Inc,
1560,Data Scientist,"Nanuet, NY+1 location",Alldus,
1561,Data Scientist,"New York, NY 10036",Pluto TV,
1562,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1563,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1564,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1565,Analyst-Data Science,"New York, NY",Amex,
1566,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1567,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1568,Data Scientist,"Corning, NY 14831",Corning,
1569,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1570,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1571,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1572,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1573,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1574,newESG Data Scientist,"New York, NY",MSCI Inc,
1575,Data Scientist,"Nanuet, NY+1 location",Alldus,
1576,Data Scientist,"New York, NY 10036",Pluto TV,
1577,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1578,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1579,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1580,Analyst-Data Science,"New York, NY",Amex,
1581,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1582,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1583,Data Scientist,"Corning, NY 14831",Corning,
1584,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1585,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1586,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1587,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1588,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1589,newESG Data Scientist,"New York, NY",MSCI Inc,
1590,Data Scientist,"Nanuet, NY+1 location",Alldus,
1591,Data Scientist,"New York, NY 10036",Pluto TV,
1592,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1593,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1594,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1595,Analyst-Data Science,"New York, NY",Amex,
1596,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1597,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1598,Data Scientist,"Corning, NY 14831",Corning,
1599,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1600,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1601,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1602,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1603,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1604,newESG Data Scientist,"New York, NY",MSCI Inc,
1605,Data Scientist,"Nanuet, NY+1 location",Alldus,
1606,Data Scientist,"New York, NY 10036",Pluto TV,
1607,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1608,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1609,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1610,Analyst-Data Science,"New York, NY",Amex,
1611,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1612,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1613,Data Scientist,"Corning, NY 14831",Corning,
1614,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1615,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1616,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1617,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1618,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1619,newESG Data Scientist,"New York, NY",MSCI Inc,
1620,Data Scientist,"Nanuet, NY+1 location",Alldus,
1621,Data Scientist,"New York, NY 10036",Pluto TV,
1622,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1623,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1624,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1625,Analyst-Data Science,"New York, NY",Amex,
1626,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1627,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1628,Data Scientist,"Corning, NY 14831",Corning,
1629,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1630,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1631,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1632,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1633,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1634,newESG Data Scientist,"New York, NY",MSCI Inc,
1635,Data Scientist,"Nanuet, NY+1 location",Alldus,
1636,Data Scientist,"New York, NY 10036",Pluto TV,
1637,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1638,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1639,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1640,Analyst-Data Science,"New York, NY",Amex,
1641,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1642,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1643,Data Scientist,"Corning, NY 14831",Corning,
1644,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1645,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1646,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1647,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1648,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1649,newESG Data Scientist,"New York, NY",MSCI Inc,
