,Title,Location,Company,Salary
1059,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1060,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1061,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1062,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1063,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1064,newESG Data Scientist,"New York, NY",MSCI Inc,
1065,Data Scientist,"Nanuet, NY+1 location",Alldus,
1066,Data Scientist,"New York, NY 10036",Pluto TV,
1067,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1068,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1069,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1070,Analyst-Data Science,"New York, NY",Amex,
1071,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1072,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1073,Data Scientist,"Corning, NY 14831",Corning,
1074,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1075,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1076,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1077,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1078,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1079,newESG Data Scientist,"New York, NY",MSCI Inc,
1080,Data Scientist,"Nanuet, NY+1 location",Alldus,
1081,Data Scientist,"New York, NY 10036",Pluto TV,
1082,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1083,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1084,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1085,Analyst-Data Science,"New York, NY",Amex,
1086,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1087,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1088,Data Scientist,"Corning, NY 14831",Corning,
1089,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1090,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1091,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1092,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1093,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1094,newESG Data Scientist,"New York, NY",MSCI Inc,
1095,Data Scientist,"Nanuet, NY+1 location",Alldus,
1096,Data Scientist,"New York, NY 10036",Pluto TV,
1097,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1098,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1099,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1100,Analyst-Data Science,"New York, NY",Amex,
1101,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1102,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1103,Data Scientist,"Corning, NY 14831",Corning,
1104,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1105,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1106,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1107,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1108,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1109,newESG Data Scientist,"New York, NY",MSCI Inc,
1110,Data Scientist,"Nanuet, NY+1 location",Alldus,
1111,Data Scientist,"New York, NY 10036",Pluto TV,
1112,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1113,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1114,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1115,Analyst-Data Science,"New York, NY",Amex,
1116,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1117,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1118,Data Scientist,"Corning, NY 14831",Corning,
1119,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
