,Title,Location,Company,Salary
343,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
344,Data Scientist (Personalization),"New York, NY",The New York Times,
345,Data Scientist,New York State•Remote,AbleTo,
346,"newData Scientist, Product Analytics - Ads Infrastructure","New York, NY",Facebook,
347,Data Scientist,"New York, NY 10036 (Midtown area)•Remote",Source Enterprises,
348,Data Scientist - Fraud,"Columbus, NY",Klarna,
349,Data Scientist,"New York, NY",Amex,
350,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
351,Data Scientist,"New York, NY 10018 (Garment District area)",QuaEra,
352,Data Scientist,"New York, NY•Remote",Fulcrum Analytics,
353,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
354,Data Scientist,"New York, NY 10010 (Park Slope area)",Hinge,
355,"Senior Data Scientist, Programming Responsibility","New York, NY•Remote",Spotify,
356,Data Scientist,"Corning, NY 14831",Corning,
357,newData Scientist,"New York, NY",BNY Mellon,
358,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
359,Data Scientist (Personalization),"New York, NY",The New York Times,
360,Data Scientist,New York State•Remote,AbleTo,
361,"newData Scientist, Product Analytics - Ads Infrastructure","New York, NY",Facebook,
362,Data Scientist,"New York, NY 10036 (Midtown area)•Remote",Source Enterprises,
363,Data Scientist - Fraud,"Columbus, NY",Klarna,
364,Data Scientist,"New York, NY",Amex,
365,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
366,Data Scientist,"New York, NY 10018 (Garment District area)",QuaEra,
367,Data Scientist,"New York, NY•Remote",Fulcrum Analytics,
368,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
369,Data Scientist,"New York, NY 10010 (Park Slope area)",Hinge,
370,"Senior Data Scientist, Programming Responsibility","New York, NY•Remote",Spotify,
371,Data Scientist,"Corning, NY 14831",Corning,
372,newData Scientist,"New York, NY",BNY Mellon,
373,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
374,Data Scientist (Personalization),"New York, NY",The New York Times,
375,Data Scientist,New York State•Remote,AbleTo,
376,"newData Scientist, Product Analytics - Ads Infrastructure","New York, NY",Facebook,
377,Data Scientist,"New York, NY 10036 (Midtown area)•Remote",Source Enterprises,
378,Data Scientist - Fraud,"Columbus, NY",Klarna,
379,Data Scientist,"New York, NY",Amex,
380,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
381,Data Scientist,"New York, NY 10018 (Garment District area)",QuaEra,
382,Data Scientist,"New York, NY•Remote",Fulcrum Analytics,
383,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
384,Data Scientist,"New York, NY 10010 (Park Slope area)",Hinge,
385,"Senior Data Scientist, Programming Responsibility","New York, NY•Remote",Spotify,
386,Data Scientist,"Corning, NY 14831",Corning,
387,newData Scientist,"New York, NY",BNY Mellon,
